,data_time,site_name,nh3n_avg,tp_avg,do_avg,codcr_avg,codmn_avg,rainfall,next_rain
5,2019-08-18 12:00:00,鲁岗涌,0.51,0.18,3.53,,1.4,0.0,0.0
583,2019-08-18 16:00:00,鲁岗涌,0.51,0.18,2.91,,1.4,0.0,0.0
961,2019-08-18 20:00:00,鲁岗涌,0.51,0.18,3.24,,1.4,0.0,0.0
1157,2019-08-19 00:00:00,鲁岗涌,0.51,0.18,3.44,,1.4,0.0,0.0
1062,2019-08-19 04:00:00,鲁岗涌,0.51,0.18,3.66,,1.4,0.0,0.0
1158,2019-08-19 08:00:00,鲁岗涌,0.51,0.18,3.93,,1.4,0.0,0.0
676,2019-08-19 12:00:00,鲁岗涌,0.62,0.247,3.93,,5.3,0.0,0.4
1159,2019-08-19 16:00:00,鲁岗涌,0.68,0.211,4.2,,5.5,0.4,0.0
867,2019-08-19 20:00:00,鲁岗涌,0.81,0.179,3.36,,4.6,0.0,0.0
1160,2019-08-20 00:00:00,鲁岗涌,0.74,0.205,3.21,,5.6,0.0,0.0
387,2019-08-20 04:00:00,鲁岗涌,0.7,0.18,3.12,,4.5,0.0,0.0
6,2019-08-20 08:00:00,鲁岗涌,0.63,0.193,2.73,,5.2,0.0,0.0
677,2019-08-20 12:00:00,鲁岗涌,0.63,0.219,3.06,,5.5,0.0,0.0
1063,2019-08-20 16:00:00,鲁岗涌,0.61,0.198,3.64,,5.6,0.0,0.0
777,2019-08-20 20:00:00,鲁岗涌,0.87,0.183,3.24,,5.3,0.0,0.0
1064,2019-08-21 00:00:00,鲁岗涌,0.66,0.181,3.08,,5.3,0.0,0.0
584,2019-08-21 04:00:00,鲁岗涌,0.65,0.15,3.02,,4.8,0.0,0.0
1256,2019-08-21 08:00:00,鲁岗涌,0.6,0.128,2.85,,4.8,0.0,0.0
199,2019-08-21 12:00:00,鲁岗涌,0.61,0.178,4.17,,5.3,0.0,0.0
1161,2019-08-21 16:00:00,鲁岗涌,0.6,0.217,4.03,,5.9,0.0,0.0
388,2019-08-21 20:00:00,鲁岗涌,0.56,0.16,3.3,,5.2,0.0,0.0
778,2019-08-22 00:00:00,鲁岗涌,0.63,0.177,3.0,,5.4,0.0,0.0
1065,2019-08-22 04:00:00,鲁岗涌,0.75,0.176,2.99,,4.8,0.0,0.0
1257,2019-08-22 08:00:00,鲁岗涌,0.66,0.16,2.85,,4.3,0.0,0.0
1066,2019-08-22 12:00:00,鲁岗涌,0.66,0.176,3.71,,4.9,0.0,0.0
100,2019-08-22 16:00:00,鲁岗涌,0.62,0.253,4.2,,6.1,0.0,0.0
678,2019-08-22 20:00:00,鲁岗涌,0.57,0.181,3.3,,5.8,0.0,0.0
200,2019-08-23 00:00:00,鲁岗涌,0.6,0.26,5.81,,8.1,0.0,0.0
101,2019-08-23 04:00:00,鲁岗涌,0.76,0.178,2.95,,5.7,0.0,0.0
389,2019-08-23 08:00:00,鲁岗涌,0.56,0.132,2.84,,4.8,0.0,0.0
201,2019-08-23 12:00:00,鲁岗涌,0.68,0.197,3.21,,5.5,0.0,0.0
202,2019-08-23 16:00:00,鲁岗涌,1.12,0.327,4.88,,9.9,0.0,0.0
585,2019-08-23 20:00:00,鲁岗涌,0.64,0.249,3.29,,6.4,0.0,0.0
102,2019-08-24 00:00:00,鲁岗涌,0.61,0.184,2.79,,5.4,0.0,0.0
679,2019-08-24 04:00:00,鲁岗涌,0.77,0.177,2.6,,11.6,0.0,0.0
586,2019-08-24 08:00:00,鲁岗涌,0.79,0.155,2.69,,5.7,0.0,0.0
587,2019-08-24 12:00:00,鲁岗涌,0.9,0.171,2.9,,5.4,0.0,0.0
1067,2019-08-24 16:00:00,鲁岗涌,0.77,0.257,3.5,,13.8,0.0,0.0
7,2019-08-24 20:00:00,鲁岗涌,1.47,0.368,3.43,,10.0,0.0,0.0
680,2019-08-25 00:00:00,鲁岗涌,0.83,0.191,2.96,,6.3,0.0,0.0
962,2019-08-25 04:00:00,鲁岗涌,0.88,0.177,3.03,,5.4,0.0,0.0
681,2019-08-25 08:00:00,鲁岗涌,0.82,0.165,3.03,,5.2,0.0,0.0
489,2019-08-25 12:00:00,鲁岗涌,1.06,0.156,3.18,,5.3,0.0,0.1
490,2019-08-25 16:00:00,鲁岗涌,0.78,0.181,3.21,,5.5,0.1,1.8
1258,2019-08-25 20:00:00,鲁岗涌,1.54,1.327,5.73,,17.7,1.8,0.0
588,2019-08-26 00:00:00,鲁岗涌,0.6,0.204,4.24,,5.9,0.0,0.8
868,2019-08-26 04:00:00,鲁岗涌,0.66,0.203,4.41,,5.9,0.8,16.4
1162,2019-08-26 08:00:00,鲁岗涌,0.64,0.229,4.62,,5.7,16.4,0.5
869,2019-08-26 12:00:00,鲁岗涌,0.75,0.245,4.55,,5.8,0.5,0.0
779,2019-08-26 16:00:00,鲁岗涌,0.79,0.253,4.21,,6.0,0.0,0.0
963,2019-08-26 20:00:00,鲁岗涌,1.31,0.405,3.38,,8.2,0.0,0.0
870,2019-08-27 00:00:00,鲁岗涌,0.97,0.453,3.54,,8.3,0.0,0.0
491,2019-08-27 04:00:00,鲁岗涌,0.71,0.368,3.78,,7.4,0.0,0.0
964,2019-08-27 08:00:00,鲁岗涌,0.61,0.374,4.16,,7.2,0.0,0.0
8,2019-08-27 12:00:00,鲁岗涌,0.5,0.316,3.88,,5.8,0.0,0.0
965,2019-08-27 16:00:00,鲁岗涌,0.53,0.323,4.37,,6.4,0.0,0.0
1068,2019-08-27 20:00:00,鲁岗涌,0.62,0.34,2.66,,7.1,0.0,0.0
292,2019-08-28 00:00:00,鲁岗涌,0.76,0.325,3.01,,6.4,0.0,0.0
9,2019-08-28 04:00:00,鲁岗涌,0.75,0.259,2.67,,6.2,0.0,0.0
1163,2019-08-28 08:00:00,鲁岗涌,0.87,0.282,2.91,,6.6,0.0,0.0
682,2019-08-28 12:00:00,鲁岗涌,0.83,0.254,3.47,,6.6,0.0,0.0
10,2019-08-28 16:00:00,鲁岗涌,0.82,0.233,3.31,,6.1,0.0,0.0
11,2019-08-28 20:00:00,鲁岗涌,0.56,0.276,3.73,,6.2,0.0,0.0
966,2019-08-29 00:00:00,鲁岗涌,0.53,0.243,3.87,,5.8,0.0,0.0
683,2019-08-29 04:00:00,鲁岗涌,0.48,0.212,3.64,,5.0,0.0,0.0
1069,2019-08-29 08:00:00,鲁岗涌,0.47,0.221,3.42,,5.3,0.0,0.0
967,2019-08-29 12:00:00,鲁岗涌,0.47,0.193,5.33,,5.2,0.0,0.0
492,2019-08-29 16:00:00,鲁岗涌,0.46,0.184,5.03,,5.0,0.0,0.0
1164,2019-08-29 20:00:00,鲁岗涌,0.45,0.187,4.64,,5.2,0.0,0.0
968,2019-08-30 00:00:00,鲁岗涌,0.71,0.466,5.25,,10.2,0.0,0.0
589,2019-08-30 04:00:00,鲁岗涌,0.35,0.203,4.7,,5.1,0.0,0.0
871,2019-08-30 08:00:00,鲁岗涌,0.38,0.221,4.36,,5.9,0.0,0.7
1259,2019-08-30 12:00:00,鲁岗涌,0.46,0.236,5.35,,5.9,0.7,0.0
103,2019-08-30 16:00:00,鲁岗涌,0.35,0.162,5.05,,4.8,0.0,0.0
1165,2019-08-30 20:00:00,鲁岗涌,0.34,0.173,4.17,,4.8,0.0,0.0
590,2019-08-31 00:00:00,鲁岗涌,1.08,0.392,3.06,,8.9,0.0,0.0
104,2019-08-31 04:00:00,鲁岗涌,0.43,0.185,3.73,,5.9,0.0,0.0
493,2019-08-31 08:00:00,鲁岗涌,0.39,0.173,3.66,,5.4,0.0,0.0
390,2019-08-31 12:00:00,鲁岗涌,0.49,0.185,4.12,,5.2,0.0,0.0
203,2019-08-31 16:00:00,鲁岗涌,0.37,0.149,4.23,,5.0,0.0,0.0
12,2019-08-31 20:00:00,鲁岗涌,0.46,0.164,3.65,,4.9,0.0,0.0
1070,2019-09-01 00:00:00,鲁岗涌,0.51,0.22,2.95,,5.6,0.0,0.0
293,2019-09-01 04:00:00,鲁岗涌,0.59,0.211,3.34,,5.2,0.0,0.0
294,2019-09-01 08:00:00,鲁岗涌,0.52,0.182,3.3,,4.7,0.0,0.0
391,2019-09-01 12:00:00,鲁岗涌,0.66,0.577,3.59,,8.4,0.0,7.3
684,2019-09-01 16:00:00,鲁岗涌,0.52,0.205,3.89,,5.1,7.3,0.0
969,2019-09-01 20:00:00,鲁岗涌,0.67,0.2,3.48,,5.4,0.0,0.0
970,2019-09-02 00:00:00,鲁岗涌,0.6,0.232,3.3,,5.6,0.0,0.0
780,2019-09-02 04:00:00,鲁岗涌,0.55,0.18,3.29,,4.9,0.0,0.0
1260,2019-09-02 08:00:00,鲁岗涌,0.59,0.186,2.9,,4.7,0.0,0.0
204,2019-09-02 12:00:00,鲁岗涌,0.54,0.237,2.74,,5.7,0.0,6.8
494,2019-09-02 16:00:00,鲁岗涌,0.5,0.203,3.16,,5.5,6.8,0.0
295,2019-09-02 20:00:00,鲁岗涌,0.61,0.241,2.88,,5.7,0.0,0.0
105,2019-09-03 00:00:00,鲁岗涌,0.55,0.266,3.08,,6.2,0.0,0.0
872,2019-09-03 04:00:00,鲁岗涌,0.71,0.3,2.25,,6.4,0.0,0.0
1166,2019-09-03 08:00:00,鲁岗涌,0.72,0.252,2.03,,5.9,0.0,0.0
971,2019-09-03 12:00:00,鲁岗涌,0.67,0.307,1.99,,6.6,0.0,0.0
591,2019-09-03 16:00:00,鲁岗涌,0.6,0.293,2.5,,6.7,0.0,0.2
685,2019-09-03 20:00:00,鲁岗涌,0.57,0.242,1.87,,5.7,0.2,0.0
13,2019-09-04 00:00:00,鲁岗涌,0.58,0.288,2.31,,6.8,0.0,0.0
873,2019-09-04 04:00:00,鲁岗涌,0.7,0.23,1.66,,6.1,0.0,0.0
106,2019-09-04 08:00:00,鲁岗涌,0.6,0.227,1.66,,6.4,0.0,0.0
1071,2019-09-04 12:00:00,鲁岗涌,0.62,0.221,1.95,,5.8,0.0,0.0
972,2019-09-04 16:00:00,鲁岗涌,0.56,0.238,2.22,,6.0,0.0,0.0
973,2019-09-04 20:00:00,鲁岗涌,0.53,0.179,1.99,,5.2,0.0,0.0
781,2019-09-05 00:00:00,鲁岗涌,0.57,0.222,1.62,,6.1,0.0,0.0
592,2019-09-05 04:00:00,鲁岗涌,0.5,0.22,1.68,,6.0,0.0,0.0
107,2019-09-05 08:00:00,鲁岗涌,0.42,0.193,1.32,,5.6,0.0,0.0
14,2019-09-05 12:00:00,鲁岗涌,0.43,0.229,2.1,,6.0,0.0,0.0
1261,2019-09-05 16:00:00,鲁岗涌,0.45,0.281,5.09,,8.0,0.0,0.0
686,2019-09-05 20:00:00,鲁岗涌,0.41,0.202,4.59,,7.1,0.0,0.0
1262,2019-09-06 00:00:00,鲁岗涌,0.49,0.199,3.96,,7.1,0.0,0.0
392,2019-09-06 04:00:00,鲁岗涌,0.43,0.222,4.72,,7.5,0.0,0.0
495,2019-09-06 08:00:00,鲁岗涌,0.38,0.184,4.59,,6.5,0.0,0.0
393,2019-09-06 12:00:00,鲁岗涌,0.4,0.192,5.5,,6.1,0.0,0.0
974,2019-09-06 16:00:00,鲁岗涌,0.42,0.265,5.3,,7.6,0.0,0.0
975,2019-09-06 20:00:00,鲁岗涌,0.34,0.177,4.57,,6.7,0.0,0.0
108,2019-09-07 00:00:00,鲁岗涌,0.33,0.156,3.74,,6.4,0.0,0.0
874,2019-09-07 04:00:00,鲁岗涌,0.56,0.301,4.19,,9.0,0.0,0.0
109,2019-09-07 08:00:00,鲁岗涌,0.3,0.16,4.01,,6.7,0.0,0.0
394,2019-09-07 12:00:00,鲁岗涌,0.5,0.152,4.19,,6.9,0.0,0.0
1167,2019-09-07 16:00:00,鲁岗涌,0.45,0.28,5.35,,7.7,0.0,0.0
110,2019-09-07 20:00:00,鲁岗涌,0.4,0.254,5.07,,7.5,0.0,0.0
1072,2019-09-08 00:00:00,鲁岗涌,0.42,0.208,4.68,,7.5,0.0,0.0
496,2019-09-08 04:00:00,鲁岗涌,0.34,0.151,3.85,,6.6,0.0,0.0
111,2019-09-08 08:00:00,鲁岗涌,0.39,0.175,4.01,,6.2,0.0,0.0
497,2019-09-08 12:00:00,鲁岗涌,0.72,0.143,3.98,,6.0,0.0,0.0
976,2019-09-08 16:00:00,鲁岗涌,0.5,0.189,5.77,,7.0,0.0,0.0
205,2019-09-08 20:00:00,鲁岗涌,1.63,1.73,7.21,,22.0,0.0,0.0
15,2019-09-09 00:00:00,鲁岗涌,0.64,0.23,3.66,,7.7,0.0,0.0
296,2019-09-09 04:00:00,鲁岗涌,0.67,0.18,3.15,,7.3,0.0,0.0
206,2019-09-09 08:00:00,鲁岗涌,0.54,0.188,3.31,,7.0,0.0,0.0
1263,2019-09-09 12:00:00,鲁岗涌,0.47,0.156,5.25,,7.0,0.0,0.0
1264,2019-09-09 16:00:00,鲁岗涌,0.64,0.199,5.09,,5.0,0.0,0.0
593,2019-09-09 20:00:00,鲁岗涌,0.59,0.255,4.38,,4.4,0.0,0.0
1168,2019-09-10 00:00:00,鲁岗涌,0.72,0.143,2.89,,3.4,0.0,0.0
687,2019-09-10 04:00:00,鲁岗涌,0.6,0.132,2.89,,2.7,0.0,0.0
1073,2019-09-10 08:00:00,鲁岗涌,0.57,0.135,2.42,,3.1,0.0,0.0
782,2019-09-10 12:00:00,鲁岗涌,0.48,0.123,3.6,,3.6,0.0,0.0
594,2019-09-10 16:00:00,鲁岗涌,0.65,0.146,4.46,,3.6,0.0,0.0
1265,2019-09-10 20:00:00,鲁岗涌,1.33,0.298,3.37,,6.9,0.0,0.0
1266,2019-09-11 00:00:00,鲁岗涌,0.82,0.139,2.71,,4.0,0.0,0.0
595,2019-09-11 04:00:00,鲁岗涌,0.78,0.135,2.34,,3.9,0.0,0.0
783,2019-09-11 08:00:00,鲁岗涌,0.77,0.136,2.59,,3.1,0.0,0.0
1169,2019-09-11 12:00:00,鲁岗涌,0.65,0.16,3.54,,4.1,0.0,0.0
112,2019-09-11 16:00:00,鲁岗涌,0.71,0.157,3.37,,4.0,0.0,3.6
113,2019-09-11 20:00:00,鲁岗涌,0.66,0.193,3.14,,4.5,3.6,0.0
977,2019-09-12 00:00:00,鲁岗涌,0.71,0.189,2.86,,3.7,0.0,0.0
1170,2019-09-12 04:00:00,鲁岗涌,0.62,0.137,2.49,,3.6,0.0,0.0
978,2019-09-12 08:00:00,鲁岗涌,0.63,0.149,2.35,,3.7,0.0,0.0
498,2019-09-12 12:00:00,鲁岗涌,0.58,0.214,3.48,,4.9,0.0,0.0
875,2019-09-12 16:00:00,鲁岗涌,0.54,0.147,3.46,,3.2,0.0,0.0
499,2019-09-12 20:00:00,鲁岗涌,0.53,0.191,3.98,,3.6,0.0,0.0
207,2019-09-13 00:00:00,鲁岗涌,0.76,0.226,2.8,,4.1,0.0,0.0
1171,2019-09-13 04:00:00,鲁岗涌,0.61,0.142,2.19,,3.5,0.0,0.0
1172,2019-09-13 08:00:00,鲁岗涌,0.54,0.138,2.15,,3.7,0.0,0.0
1173,2019-09-13 12:00:00,鲁岗涌,0.57,0.167,3.67,,3.3,0.0,0.0
876,2019-09-13 16:00:00,鲁岗涌,0.49,0.152,2.37,,3.5,0.0,0.0
979,2019-09-13 20:00:00,鲁岗涌,0.4,0.156,1.94,,3.5,0.0,0.0
114,2019-09-14 00:00:00,鲁岗涌,0.55,0.181,2.34,,3.3,0.0,0.2
1174,2019-09-14 04:00:00,鲁岗涌,0.53,0.167,1.99,,3.4,0.2,0.0
1267,2019-09-14 08:00:00,鲁岗涌,0.47,0.147,1.78,,3.1,0.0,0.0
115,2019-09-14 12:00:00,鲁岗涌,0.48,0.153,2.99,,3.4,0.0,0.0
1175,2019-09-14 16:00:00,鲁岗涌,0.46,0.172,1.84,,3.9,0.0,0.0
596,2019-09-14 20:00:00,鲁岗涌,0.35,0.16,1.43,,3.9,0.0,0.0
688,2019-09-15 00:00:00,鲁岗涌,0.49,0.297,1.58,,7.3,0.0,0.0
1074,2019-09-15 04:00:00,鲁岗涌,0.52,0.164,1.38,,3.4,0.0,0.0
116,2019-09-15 08:00:00,鲁岗涌,0.46,0.149,1.1,,2.8,0.0,0.0
16,2019-09-15 12:00:00,鲁岗涌,0.43,0.21,1.95,,2.7,0.0,0.0
17,2019-09-15 16:00:00,鲁岗涌,0.39,0.165,1.88,,2.7,0.0,0.0
689,2019-09-15 20:00:00,鲁岗涌,0.39,0.155,1.01,,2.9,0.0,0.0
784,2019-09-16 00:00:00,鲁岗涌,0.68,0.261,1.0,,7.0,0.0,0.0
980,2019-09-16 04:00:00,鲁岗涌,0.39,0.156,1.19,,2.8,0.0,0.1
1176,2019-09-16 08:00:00,鲁岗涌,0.42,0.156,0.81,,2.6,0.1,0.0
1177,2019-09-16 12:00:00,鲁岗涌,,,5.42,,,0.0,0.0
597,2019-09-16 16:00:00,鲁岗涌,1.98,0.202,5.36,,6.6,0.0,0.0
1268,2019-09-16 20:00:00,鲁岗涌,0.39,0.17,3.78,,3.0,0.0,0.0
297,2019-09-17 00:00:00,鲁岗涌,0.44,0.296,4.27,,5.2,0.0,0.1
1269,2019-09-17 04:00:00,鲁岗涌,0.37,0.207,4.56,,2.2,0.1,0.0
877,2019-09-17 08:00:00,鲁岗涌,0.36,0.19,3.7,,1.5,0.0,0.0
395,2019-09-17 12:00:00,鲁岗涌,0.32,0.192,5.0,,1.9,0.0,0.0
